id,taxpayer_number,taxpayer_name,taxpayer_address,taxpayer_city,taxpayer_state,taxpayer_zip,taxpayer_county,location_number,location_name,location_address,location_city,location_state,location_zip,location_county,tabc_permit_number,responsibility_begin_date,responsibility_end_date,obligation_end_date,liquor_receipts,wine_receipts,beer_receipts,cover_charge_receipts,total_receipts,latitude,longitude,geocoding_confidence,data_quality_score,is_active,last_updated,created_at,full_address,concept_primary,concept_secondary,concept_confidence,concept_source,population_1_mile,drinking_age_1_mile,population_3_mile,drinking_age_3_mile,population_5_mile,drinking_age_5_mile,population_10_mile,drinking_age_10_mile,square_footage,square_footage_source,square_footage_confidence
row-76qt~e98q-mk29,32031160081,"RILEY'S RESTAURANTS, LLC",2884 MCKINNEY LOOP,BLANCO,TX,78606,16,4,THE LAND CUT,306 PECAN ST,BLANCO,TX,78606,16,MB672120,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,True,2025-10-22T21:32:55,2025-10-22T21:32:55,"306 PECAN ST, BLANCO, TX 78606",,[],0.0,,0,0,0,0,0,0,0,0,,,0.0
row-t24r.8245_zcyy,10105641608,"JLV ASSET MANAGEMENT, INC.",711 GEORGE WILSON RD,BELTON,TX,76513,14,1,CHEEVES BROS STEAK HOUSE,14 E AVENUE A,TEMPLE,TX,76501,14,RM511258,,,,0.0,0.0,0.0,0.0,30609.0,,,0.0,0.0,True,2025-10-22T21:32:55,2025-10-22T21:32:55,"14 E AVENUE A, TEMPLE, TX 76501",,[],0.0,,0,0,0,0,0,0,0,0,,,0.0
row-a97s.drdc.5vyn,12604741921,MCROD PROPERTIES LLC,10701 S INTERSTATE 35 APT 1727,AUSTIN,TX,78747,227,1,FLANAGANS BAR,413 STARR ST,CORPUS CHRISTI,TX,78401,178,MB685710,,,,0.0,0.0,0.0,0.0,13411.0,,,0.0,0.0,True,2025-10-22T21:32:55,2025-10-22T21:32:55,"413 STARR ST, CORPUS CHRISTI, TX 78401",,[],0.0,,0,0,0,0,0,0,0,0,,,0.0
row-esjb.hpsa.xha4,32008413232,BRIAN K BLACK,PO BOX 151,BANDERA,TX,78003,10,4,LONGHORN SALOON,1307 STATE HIGHWAY 16 S,BANDERA,TX,78003,10,MB655809,,,,0.0,0.0,0.0,0.0,37980.0,,,0.0,0.0,True,2025-10-22T21:32:55,2025-10-22T21:32:55,"1307 STATE HIGHWAY 16 S, BANDERA, TX 78003",,[],0.0,,0,0,0,0,0,0,0,0,,,0.0
row-7wwt~wkkn.qwfn,32001139503,ROCKETT'S BAR-B-QUE CAFE & CLUB,5790 FM 813,WAXAHACHIE,TX,75165,70,1,ROCKETT'S BAR-B-QUE CAFE & CLUB,5790 FM 813,WAXAHACHIE,TX,75165,70,N 193658,,,,0.0,0.0,0.0,0.0,25741.0,,,0.0,0.0,True,2025-10-22T21:32:55,2025-10-22T21:32:55,"5790 FM 813, WAXAHACHIE, TX 75165",,[],0.0,,0,0,0,0,0,0,0,0,,,0.0
row-b6cm~vx2d-f7gn,12624470956,"CAFE BYBLOS, LLC",3100 S GESSNER RD STE 115,HOUSTON,TX,77063,101,1,CAFE BYBLOS,6134 RICHMOND AVE,HOUSTON,TX,77057,101,MB709819,,,,0.0,0.0,0.0,0.0,22860.0,,,0.0,0.0,True,2025-10-22T21:32:55,2025-10-22T21:32:55,"6134 RICHMOND AVE, HOUSTON, TX 77057",,[],0.0,,0,0,0,0,0,0,0,0,,,0.0
row-rejg-ixcy_gidq,17516673732,ENCHILADA'S CORPORATION,13849 CREEKSIDE PL,DALLAS,TX,75240,57,1,ENCHILADA'S MEXICAN RESTURANT,6526 E NORTHWEST HWY,DALLAS,TX,75231,57,MB227283,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,True,2025-10-22T21:32:55,2025-10-22T21:32:55,"6526 E NORTHWEST HWY, DALLAS, TX 75231",,[],0.0,,0,0,0,0,0,0,0,0,,,0.0
row-pxt2~gbb3~5mut,32006843489,DEBRA R TAYLOR,602 S LOBIT ST,LA PORTE,TX,77571,101,1,SAM & DAVE'S,1612 UNDERWOOD RD,LA PORTE,TX,77571,101,MB516497,,,,0.0,0.0,0.0,0.0,28905.0,,,0.0,0.0,True,2025-10-22T21:32:55,2025-10-22T21:32:55,"1612 UNDERWOOD RD, LA PORTE, TX 77571",,[],0.0,,0,0,0,0,0,0,0,0,,,0.0
row-96kc_sei6.id53,17428725547,SALSALITO CANTINA INC.,14535 NACOGDOCHES RD,SAN ANTONIO,TX,78247,15,1,SALSALITO CANTINA,14535 NACOGDOCHES RD,SAN ANTONIO,TX,78247,15,MB845401,,,,0.0,0.0,0.0,0.0,29628.0,,,0.0,0.0,True,2025-10-22T21:32:55,2025-10-22T21:32:55,"14535 NACOGDOCHES RD, SAN ANTONIO, TX 78247",,[],0.0,,0,0,0,0,0,0,0,0,,,0.0
row-apyi_d2mc_sgyc,17514023906,"STEAK AND ALE OF TEXAS, INC.",6500 INTERNATIONAL PKWY ATTN: CHEREE SOT,PLANO,TX,75093,43,163,29DEGREE TAVERN,4701 WEST FWY STE 100,FORT WORTH,TX,76107,220,MB185532,,,,0.0,0.0,0.0,0.0,74901.0,,,0.0,0.0,True,2025-10-22T21:32:55,2025-10-22T21:32:55,"4701 WEST FWY STE 100, FORT WORTH, TX 76107",,[],0.0,,0,0,0,0,0,0,0,0,,,0.0
row-xzz9_nj45.jigg,32044165978,"MOLINA'S CANTINA TRES, INC.",1225 NORTH LOOP W STE 640,HOUSTON,TX,77008,101,1,MOLINA'S CANTINA,3801 BELLAIRE BLVD UNIT 140301,HOUSTON,TX,77025,101,MB785688,,,,0.0,0.0,0.0,0.0,68866.0,,,0.0,0.0,True,2025-10-22T21:32:55,2025-10-22T21:32:55,"3801 BELLAIRE BLVD UNIT 140301, HOUSTON, TX 77025",,[],0.0,,0,0,0,0,0,0,0,0,,,0.0
row-6hd5_gtt2_2ahs,30000540119,GRIFFITH-ZANN AMERICAN LEGION POST #594,PO BOX 263594,HOUSTON,TX,77207,101,4,GRIFFITH/ZANN AMERICAN LEGION POST 594,7139 DIXIE DR,HOUSTON,TX,77087,101,NE079085,,,,0.0,0.0,0.0,0.0,10.0,,,0.0,0.0,True,2025-10-22T21:32:55,2025-10-22T21:32:55,"7139 DIXIE DR, HOUSTON, TX 77087",,[],0.0,,0,0,0,0,0,0,0,0,,,0.0
row-qcai~dtvm~xdc4,12042825740,CLUB DADA L.L.C.,2720 ELM ST,DALLAS,TX,75226,57,1,CLUB DADA,2720 ELM ST,DALLAS,TX,75226,57,MB625689,,,,0.0,0.0,0.0,0.0,33295.0,,,0.0,0.0,True,2025-10-22T21:32:55,2025-10-22T21:32:55,"2720 ELM ST, DALLAS, TX 75226",,[],0.0,,0,0,0,0,0,0,0,0,,,0.0
row-5ryv-iakx.fe8h,17560401295,"G. W. HALTOM II MEMORIAL POST NO. 9190, VETERANS O",5001 OLD DENTON RD,HALTOM CITY,TX,76117,220,2,G W HALTOM II MEMORIAL POST 9190 VFW OF THE US,5001 OLD DENTON RD,HALTOM CITY,TX,76117,220,NE252311,,,,0.0,0.0,0.0,0.0,12356.0,,,0.0,0.0,True,2025-10-22T21:32:55,2025-10-22T21:32:55,"5001 OLD DENTON RD, HALTOM CITY, TX 76117",,[],0.0,,0,0,0,0,0,0,0,0,,,0.0
row-kakd-extp.n8p9,17418730721,"MATT'S EL RANCHO, INC.",PO BOX 3218,AUSTIN,TX,78764,227,3,"MATT'S EL RANCHO, INC.",2613 S LAMAR BLVD,AUSTIN,TX,78704,227,MB095436,,,,0.0,0.0,0.0,0.0,231747.0,,,0.0,0.0,True,2025-10-22T21:32:55,2025-10-22T21:32:55,"2613 S LAMAR BLVD, AUSTIN, TX 78704",,[],0.0,,0,0,0,0,0,0,0,0,,,0.0
row-cdez~exdj-3z5y,32048949518,"TACO VENTURE VII, LLC",3104 BEAVER CREEK DR,FLOWER MOUND,TX,75022,61,1,FUZZY'S TACO SHOP,1000 W JOHN CARPENTER FWY,IRVING,TX,75039,57,MB861198,,,,0.0,0.0,0.0,0.0,60089.0,,,0.0,0.0,True,2025-10-22T21:32:55,2025-10-22T21:32:55,"1000 W JOHN CARPENTER FWY, IRVING, TX 75039",,[],0.0,,0,0,0,0,0,0,0,0,,,0.0
row-8qtt-va6x.6arw,17527468437,JIMMIE GEIGAS AMERICAN LEGION POST 96,PO BOX 279,MCKINNEY,TX,75070,43,1,JIMMIE GEIGAS AMERICAN LEGION POST,1505 N CHURCH ST,MCKINNEY,TX,75069,43,NE066345,,,,0.0,0.0,0.0,0.0,13927.0,,,0.0,0.0,True,2025-10-22T21:32:55,2025-10-22T21:32:55,"1505 N CHURCH ST, MCKINNEY, TX 75069",,[],0.0,,0,0,0,0,0,0,0,0,,,0.0
row-8yk6-i252~nc9h,14215361198,"SANDTRAP GRILL, LLC",7900 N SAM HOUSTON PKWY W,HOUSTON,TX,77064,101,1,SANDTRAP GRILL,7900 N SAM HOUSTON PKWY W,HOUSTON,TX,77064,101,MB527320,,,,0.0,0.0,0.0,0.0,3331.0,,,0.0,0.0,True,2025-10-22T21:32:55,2025-10-22T21:32:55,"7900 N SAM HOUSTON PKWY W, HOUSTON, TX 77064",,[],0.0,,0,0,0,0,0,0,0,0,,,0.0
row-wqxu.nn9s_myut,17605552987,VENTURE OPERATING COMPANY,95 SUMMER CREST CIR,SPRING,TX,77381,170,1,CLAYTON'S RESTAURANT & CLUB,198 N SAM HOUSTON PKWY E,HOUSTON,TX,77060,101,MB426358,,,,0.0,0.0,0.0,0.0,136207.0,,,0.0,0.0,True,2025-10-22T21:32:55,2025-10-22T21:32:55,"198 N SAM HOUSTON PKWY E, HOUSTON, TX 77060",,[],0.0,,0,0,0,0,0,0,0,0,,,0.0
row-kvws.rxtb-miuu,17522391758,"ROSA'S CAFES, INC.",5000 OVERTON PLZ STE 300,FORT WORTH,TX,76109,220,13,ROSA'S CAFE & TORTILLA FACTORY#11,4312 SW 45TH AVE,AMARILLO,TX,79109,191,MB250502,,,,0.0,0.0,0.0,0.0,1710.0,,,0.0,0.0,True,2025-10-22T21:32:55,2025-10-22T21:32:55,"4312 SW 45TH AVE, AMARILLO, TX 79109",,[],0.0,,0,0,0,0,0,0,0,0,,,0.0
row-pywt~262g.d4c2,32048020492,"TWIN CITIES BOWLING, INC.",2208 E 8TH ST,ODESSA,TX,79761,68,1,DIAMOND LANES,2208 E 8TH ST,ODESSA,TX,79761,68,MB815189,,,,0.0,0.0,0.0,0.0,24851.0,,,0.0,0.0,True,2025-10-22T21:32:55,2025-10-22T21:32:55,"2208 E 8TH ST, ODESSA, TX 79761",,[],0.0,,0,0,0,0,0,0,0,0,,,0.0
row-jiwe~b3gq.v3pr,32009609804,GONZALO RANGEL,401 E NEVADA AVE,EL PASO,TX,79902,71,3,GONZALO'S G & R RESTAURANT,401 E NEVADA AVE,EL PASO,TX,79902,71,MB108099,,,,0.0,0.0,0.0,0.0,2096.0,,,0.0,0.0,True,2025-10-22T21:32:55,2025-10-22T21:32:55,"401 E NEVADA AVE, EL PASO, TX 79902",,[],0.0,,0,0,0,0,0,0,0,0,,,0.0
row-sp4h_mjua.86ff,12606842560,LOS FRESEROS INC.,4501 S TEXAS AVE,BRYAN,TX,77802,21,1,LAS LOMAS MEXICAN GRILL & CANTINA,4501 S TEXAS AVE,BRYAN,TX,77802,21,MB675535,,,,0.0,0.0,0.0,0.0,2308.0,,,0.0,0.0,True,2025-10-22T21:32:55,2025-10-22T21:32:55,"4501 S TEXAS AVE, BRYAN, TX 77802",,[],0.0,,0,0,0,0,0,0,0,0,,,0.0
